"units","brand","flavor","grain","promo","ad","volume","price"
4,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.99
5,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.09
16,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,2.59
10,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.49
5,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.19
8,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,2.99
5,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.69
2,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",0.8,2.5
4,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,2.99
5,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",0.8,3.48
18,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.8,3.19
3,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,3.92
6,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"A",1.06,3
8,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,4.29
11,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"A",1.06,4.99
9,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",1.06,3.87
10,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,5.49
24,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,3.54
6,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",1.06,3.31
14,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",1.06,3.29
27,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,4.99
15,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",1.06,3.7
1,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,3.92
1,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",1.06,4.29
5,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,4.49
6,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,3.99
20,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,3.99
4,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,4.15
12,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,4.29
5,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,5.39
5,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,4.59
7,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,3.79
6,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,5.49
18,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",1.06,3
13,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,4.91
3,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,4.19
9,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.06,4.69
4,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,5.49
8,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.98
26,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.69
9,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.95
4,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.79
5,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.79
9,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",1.56,6.1
18,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.79
9,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,5.99
10,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,5.89
14,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,3
2,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.98
18,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.2
3,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.59
3,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.79
3,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,5.69
1,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,5.31
10,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.51
1,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.99
6,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,5.99
10,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.46
17,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",1.56,3.33
8,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,5.99
5,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,6.39
9,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,5.38
3,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.83
4,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,6.49
4,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,4.79
9,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,5.58
2,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",1.56,5.05
8,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.78,3.99
1,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"B",0.78,2.5
3,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.78,3.49
9,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",1,"NONE",0.78,2.5
1,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.78,3.29
4,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.78,2.99
1,"GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST","WHOLE WHEAT AND RICE",0,"NONE",0.78,4.39
10,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.69
9,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.89
6,"KELLOGGS CORN FLAKES","REGULAR","CORN",1,"A",0.75,2.5
8,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.59
18,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.79
3,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.89
5,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.79
16,"KELLOGGS CORN FLAKES","REGULAR","CORN",1,"NONE",0.75,3.39
11,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.99
16,"KELLOGGS CORN FLAKES","REGULAR","CORN",1,"NONE",0.75,2.04
12,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.69
21,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.89
16,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.39
10,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"B",0.75,3.19
16,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.5
6,"KELLOGGS CORN FLAKES","REGULAR","CORN",1,"NONE",0.75,2.12
3,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"A",0.75,2.69
13,"KELLOGGS CORN FLAKES","REGULAR","CORN",1,"NONE",0.75,2.62
6,"KELLOGGS CORN FLAKES","REGULAR","CORN",1,"NONE",0.75,2.17
4,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.69
7,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.19
3,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.99
3,"KELLOGGS CORN FLAKES","REGULAR","CORN",1,"NONE",0.75,3.26
15,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.84
7,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.19
17,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"A",0.75,3.99
9,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.9
6,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"B",0.75,3.59
4,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.89
15,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.69
3,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.49
12,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.79
9,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.32
17,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.4
9,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.15
11,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.76
13,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.59
6,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.09
16,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,2.84
16,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",0.75,3.29
1,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"A",1.12,3.29
17,"KELLOGGS CORN FLAKES","REGULAR","CORN",1,"NONE",1.12,3.49
2,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,3.63
10,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,2.99
3,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,3.55
15,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,4.39
4,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,3.99
9,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,3.2
5,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,3.99
10,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,3.15
17,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,4.39
14,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"A",1.12,3.92
6,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,3.59
6,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,4.19
7,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,3.99
7,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,3.49
6,"KELLOGGS CORN FLAKES","REGULAR","CORN",1,"NONE",1.12,3.99
1,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,3.79
3,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,3.79
20,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.12,4.49
15,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,3.77
9,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,3.19
2,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,4.79
7,"KELLOGGS CORN FLAKES","REGULAR","CORN",1,"NONE",1.5,4.4
3,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,3.59
20,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,4.68
7,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,3.19
3,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,4.33
8,"KELLOGGS CORN FLAKES","REGULAR","CORN",1,"NONE",1.5,4.37
2,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,4.98
23,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,3.82
12,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,4.29
16,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"B",1.5,4.29
15,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,3.19
1,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,4.79
3,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,4.19
1,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,3.99
2,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,4.27
9,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"NONE",1.5,4.29
13,"KELLOGGS CORN FLAKES","REGULAR","CORN",0,"A",1.5,3.29
5,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.68,3.79
3,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.68,2.99
7,"KELLOGGS CORN POPS","REGULAR","CORN",1,"NONE",0.68,2
1,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.68,2.99
4,"KELLOGGS CORN POPS","REGULAR","CORN",1,"NONE",0.68,1.79
2,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.68,3.18
3,"KELLOGGS CORN POPS","REGULAR","CORN",1,"NONE",0.68,2.5
8,"KELLOGGS CORN POPS","REGULAR","CORN",1,"NONE",0.68,2.14
2,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.68,3.19
6,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.68,3.29
15,"KELLOGGS CORN POPS","REGULAR","CORN",1,"NONE",0.94,2.33
8,"KELLOGGS CORN POPS","REGULAR","CORN",0,"A",0.94,3.27
9,"KELLOGGS CORN POPS","REGULAR","CORN",0,"A",0.94,3.47
6,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.94,3.15
4,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.94,4.49
23,"KELLOGGS CORN POPS","REGULAR","CORN",1,"NONE",0.94,3
7,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.94,3.19
1,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.94,3.46
6,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.94,2.98
6,"KELLOGGS CORN POPS","REGULAR","CORN",0,"B",0.94,3.29
5,"KELLOGGS CORN POPS","REGULAR","CORN",1,"NONE",0.94,3.99
7,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",0.94,2.99
3,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",1.22,4.99
8,"KELLOGGS CORN POPS","REGULAR","CORN",1,"NONE",1.22,2.62
2,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",1.22,3.82
2,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",1.22,4.99
7,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",1.22,4.29
1,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",1.22,5.19
4,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",1.22,3.94
24,"KELLOGGS CORN POPS","REGULAR","CORN",1,"A",1.22,2.27
6,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",1.22,4.19
1,"KELLOGGS CORN POPS","REGULAR","CORN",0,"NONE",1.22,5.59
2,"KELLOGGS FROSTED FLAKES","REGULAR","CORN",0,"NONE",1.94,5.09
4,"KELLOGGS FROSTED FLAKES","REGULAR","CORN",0,"NONE",1.94,5.63
6,"KELLOGGS FROSTED FLAKES","REGULAR","CORN",0,"NONE",1.94,4.99
1,"KELLOGGS FROSTED FLAKES","REGULAR","CORN",0,"NONE",1.94,5.63
1,"KELLOGGS FROSTED FLAKES","REGULAR","CORN",0,"NONE",1.94,5.99
4,"KELLOGGS FROSTED FLAKES","REGULAR","CORN",0,"NONE",1.94,5.99
8,"KELLOGGS FROSTED FLAKES","REGULAR","CORN",1,"B",1.94,4
5,"KELLOGGS FROSTED FLAKES","REGULAR","CORN",0,"NONE",1.94,4.35
9,"KELLOGGS FROSTED FLAKES","REGULAR","CORN",0,"NONE",1.94,5.19
15,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",1,"NONE",0.69,1.79
8,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",0,"NONE",0.69,2.95
9,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",0,"NONE",0.69,2.98
9,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",1,"A",0.69,2.1
6,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",0,"NONE",0.69,3.09
5,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",1,"NONE",0.69,3.28
3,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",1,"A",0.69,2
10,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",0,"NONE",0.69,2.34
11,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",0,"NONE",0.69,3.89
5,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",0,"NONE",0.69,3.49
9,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",1,"A",0.69,2.19
1,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",1,"A",0.69,4.29
2,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",0,"NONE",0.69,3.42
7,"KELLOGGS FROOT LOOPS","FRUIT","MULTI GRAIN",1,"A",0.69,2.58
5,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3
8,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",1,"NONE",1.03,3.43
3,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,4.19
2,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.99
3,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,2.9
2,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.28
22,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",1,"A",1.03,2.5
6,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",1,"NONE",1.03,3
5,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.99
8,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.69
4,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",1,"NONE",1.03,3.24
2,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.69
2,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",1,"NONE",1.03,3.29
2,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.88
18,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3
6,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.51
6,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",1,"NONE",1.03,3
7,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"A",1.03,3.89
4,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.74
6,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.99
5,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.36
1,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.49
1,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.59
3,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",1,"NONE",1.03,3.5
2,"KELLOGGS FROSTED MINI WHEATS","BROWN SUGAR MAPLE","WHOLE GRAIN WHEAT",0,"NONE",1.03,3.99
